timestamp,can_id,data
2025-06-29 21:44:57.004,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.015,0x288,107 48 0 0 96 207 0
2025-06-29 21:44:57.021,0x380,103 0 0 128 0 0 16
2025-06-29 21:44:57.021,0x488,40 81 116 166 0 0 160
2025-06-29 21:44:57.021,0x588,64 116 0 0 3 0 0
2025-06-29 21:44:57.021,0x320,3 17 0 0 0 0 0
2025-06-29 21:44:57.031,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.037,0x288,107 48 0 0 96 207 0
2025-06-29 21:44:57.037,0x380,103 0 0 128 0 0 17
2025-06-29 21:44:57.037,0x488,40 81 116 166 0 0 176
2025-06-29 21:44:57.037,0x480,12 0 0 0 64 1 20
2025-06-29 21:44:57.045,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.045,0x288,107 48 0 0 96 207 0
2025-06-29 21:44:57.053,0x380,103 0 0 128 0 0 17
2025-06-29 21:44:57.053,0x488,40 81 116 166 0 0 192
2025-06-29 21:44:57.060,0x588,64 116 0 0 3 0 0
2025-06-29 21:44:57.061,0x320,3 17 0 0 0 0 0
2025-06-29 21:44:57.061,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.070,0x288,107 48 0 0 96 207 0
2025-06-29 21:44:57.072,0x380,103 0 0 128 0 0 17
2025-06-29 21:44:57.072,0x488,40 81 116 166 0 0 208
2025-06-29 21:44:57.082,0x480,12 0 0 0 64 1 20
2025-06-29 21:44:57.082,0x470,0 0 0 2
2025-06-29 21:44:57.087,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.087,0x288,107 48 0 0 96 207 0
2025-06-29 21:44:57.093,0x380,103 0 0 128 0 0 16
2025-06-29 21:44:57.098,0x488,40 81 116 166 0 0 224
2025-06-29 21:44:57.099,0x588,64 116 0 0 3 0 0
2025-06-29 21:44:57.103,0x320,3 17 0 0 0 0 0
2025-06-29 21:44:57.104,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.109,0x288,107 48 0 0 96 207 0
2025-06-29 21:44:57.110,0x380,103 0 0 128 0 0 16
2025-06-29 21:44:57.115,0x488,40 81 116 166 0 0 240
2025-06-29 21:44:57.120,0x480,12 0 0 0 64 1 20
2025-06-29 21:44:57.121,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.126,0x288,107 48 0 0 96 207 0
2025-06-29 21:44:57.126,0x380,103 0 0 128 0 0 16
2025-06-29 21:44:57.131,0x488,40 81 116 166 0 0 0
2025-06-29 21:44:57.131,0x588,64 116 0 0 3 0 0
2025-06-29 21:44:57.137,0x320,3 17 0 0 0 0 0
2025-06-29 21:44:57.137,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.142,0x288,107 48 0 0 96 207 0
2025-06-29 21:44:57.142,0x380,103 0 0 128 0 0 16
2025-06-29 21:44:57.142,0x488,40 81 116 166 0 0 16
2025-06-29 21:44:57.154,0x480,12 0 0 0 64 1 217
2025-06-29 21:44:57.155,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.159,0x288,107 48 0 0 96 207 0
2025-06-29 21:44:57.165,0x380,103 0 0 128 0 0 16
2025-06-29 21:44:57.165,0x488,40 81 116 166 0 0 32
2025-06-29 21:44:57.170,0x588,64 116 0 0 3 0 0
2025-06-29 21:44:57.171,0x320,3 17 0 0 0 0 0
2025-06-29 21:44:57.176,0x420,0 0 0 107 0 128 0
2025-06-29 21:44:57.177,0x470,0 0 0 2
2025-06-29 21:44:57.181,0x570,0 0 0
2025-06-29 21:44:57.182,0x5D0,2 65 32 0 0
2025-06-29 21:44:57.187,0x5D8,4 0 0 0 0 0 0
2025-06-29 21:44:57.188,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.190,0x288,107 48 0 0 96 207 0
2025-06-29 21:44:57.193,0x380,103 0 0 128 0 0 16
2025-06-29 21:44:57.198,0x488,40 81 116 166 0 0 48
2025-06-29 21:44:57.198,0x480,12 0 0 0 64 1 217
2025-06-29 21:44:57.198,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.207,0x288,107 48 0 0 96 207 0
2025-06-29 21:44:57.207,0x380,103 0 0 128 0 0 16
2025-06-29 21:44:57.215,0x488,40 81 116 166 0 0 64
2025-06-29 21:44:57.217,0x588,64 116 0 0 3 0 0
2025-06-29 21:44:57.217,0x320,3 17 0 0 0 0 0
2025-06-29 21:44:57.223,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.223,0x288,107 48 0 0 96 207 0
2025-06-29 21:44:57.231,0x380,103 0 0 128 0 0 16
2025-06-29 21:44:57.233,0x488,40 81 116 166 0 0 80
2025-06-29 21:44:57.233,0x480,12 0 0 0 64 1 217
2025-06-29 21:44:57.239,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.239,0x288,107 48 0 0 96 207 0
2025-06-29 21:44:57.247,0x380,103 0 0 128 0 0 16
2025-06-29 21:44:57.249,0x488,40 81 116 166 0 0 96
2025-06-29 21:44:57.249,0x588,64 116 0 0 3 0 0
2025-06-29 21:44:57.249,0x320,3 17 0 0 0 0 0
2025-06-29 21:44:57.259,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.264,0x288,107 48 0 0 96 207 0
2025-06-29 21:44:57.265,0x380,103 0 0 128 0 0 16
2025-06-29 21:44:57.265,0x488,40 81 116 166 0 0 112
2025-06-29 21:44:57.265,0x480,12 0 0 0 64 1 217
2025-06-29 21:44:57.274,0x470,0 0 0 2
2025-06-29 21:44:57.274,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.280,0x288,107 48 0 0 96 207 0
2025-06-29 21:44:57.280,0x380,103 0 0 128 0 0 16
2025-06-29 21:44:57.280,0x488,40 81 116 166 0 0 128
2025-06-29 21:44:57.292,0x588,64 116 0 0 3 0 0
2025-06-29 21:44:57.292,0x320,3 17 0 0 0 0 0
2025-06-29 21:44:57.296,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.296,0x288,107 48 0 0 96 207 0
2025-06-29 21:44:57.296,0x380,103 0 0 128 0 0 16
2025-06-29 21:44:57.305,0x488,40 81 116 166 0 0 144
2025-06-29 21:44:57.305,0x480,12 0 0 0 64 1 141
2025-06-29 21:44:57.313,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.313,0x288,107 48 0 0 96 207 0
2025-06-29 21:44:57.313,0x380,103 0 0 128 0 0 16
2025-06-29 21:44:57.321,0x320,3 17 0 0 0 0 0
2025-06-29 21:44:57.321,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.330,0x288,107 48 0 0 96 207 0
2025-06-29 21:44:57.332,0x380,103 0 0 128 0 0 16
2025-06-29 21:44:57.337,0x520,143 1 242 106 76 163 1
2025-06-29 21:44:57.337,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.337,0x288,107 48 0 0 96 207 0
2025-06-29 21:44:57.347,0x380,103 0 0 128 0 0 16
2025-06-29 21:44:57.347,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.353,0x288,107 48 0 0 96 207 0
2025-06-29 21:44:57.354,0x380,103 0 0 128 0 0 16
2025-06-29 21:44:57.356,0x488,40 81 116 166 0 0 208
2025-06-29 21:44:57.356,0x588,64 116 0 0 3 0 0
2025-06-29 21:44:57.362,0x320,3 17 0 0 0 0 0
2025-06-29 21:44:57.370,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.370,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.372,0x288,107 48 0 0 96 207 0
2025-06-29 21:44:57.372,0x380,103 0 0 128 0 0 17
2025-06-29 21:44:57.381,0x488,40 81 116 166 0 0 0
2025-06-29 21:44:57.381,0x588,64 116 0 0 3 0 0
2025-06-29 21:44:57.387,0x320,3 17 0 0 0 0 0
2025-06-29 21:44:57.387,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.387,0x288,107 48 0 0 96 207 0
2025-06-29 21:44:57.396,0x380,103 0 0 128 0 0 16
2025-06-29 21:44:57.396,0x470,0 0 0 2
2025-06-29 21:44:57.404,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.404,0x288,107 48 0 0 96 207 0
2025-06-29 21:44:57.406,0x380,103 0 0 128 0 0 16
2025-06-29 21:44:57.406,0x280,0 0 0 0 0 0 0
2025-06-29 21:44:57.412,0x288,107 48 0 0 96 207 0
