timestamp,can_id,data
2025-06-29 22:11:28.373,0x280,23 62 12 20 0 20 21
2025-06-29 22:11:28.378,0x288,173 48 0 0 78 211 11
2025-06-29 22:11:28.378,0x380,109 0 0 128 0 0 6
2025-06-29 22:11:28.386,0x280,23 62 12 20 0 20 20
2025-06-29 22:11:28.394,0x380,109 0 0 128 0 0 6
2025-06-29 22:11:28.394,0x588,116 116 4 0 1 0 0
2025-06-29 22:11:28.394,0x280,23 62 12 20 0 20 20
2025-06-29 22:11:28.403,0x288,173 48 0 0 78 211 11
2025-06-29 22:11:28.403,0x380,109 0 0 128 0 0 6
2025-06-29 22:11:28.411,0x488,20 20 116 166 0 0 192
2025-06-29 22:11:28.411,0x280,23 53 12 20 0 20 20
2025-06-29 22:11:28.411,0x288,173 48 0 0 78 211 11
2025-06-29 22:11:28.419,0x280,24 53 12 20 0 20 20
2025-06-29 22:11:28.419,0x288,173 48 0 0 78 211 11
2025-06-29 22:11:28.427,0x380,109 0 0 128 0 0 6
2025-06-29 22:11:28.429,0x280,24 53 12 20 0 20 20
2025-06-29 22:11:28.435,0x288,173 48 0 0 78 211 11
2025-06-29 22:11:28.435,0x380,109 0 0 128 0 0 6
2025-06-29 22:11:28.443,0x488,20 20 116 166 0 0 240
2025-06-29 22:11:28.443,0x488,20 20 116 166 0 0 0
2025-06-29 22:11:28.452,0x320,3 16 0 0 0 0 0
2025-06-29 22:11:28.460,0x280,23 45 12 20 0 20 20
2025-06-29 22:11:28.460,0x280,23 45 12 20 0 20 20
2025-06-29 22:11:28.460,0x288,173 48 0 0 78 211 11
2025-06-29 22:11:28.468,0x380,109 0 0 128 0 0 6
2025-06-29 22:11:28.468,0x280,23 45 12 20 0 20 20
2025-06-29 22:11:28.476,0x288,173 48 0 0 78 211 11
2025-06-29 22:11:28.479,0x380,109 0 0 128 0 0 6
2025-06-29 22:11:28.479,0x280,24 39 12 20 0 20 20
2025-06-29 22:11:28.486,0x288,173 48 0 0 78 211 11
2025-06-29 22:11:28.486,0x380,109 0 0 128 0 0 6
2025-06-29 22:11:28.493,0x280,24 39 12 20 0 20 20
2025-06-29 22:11:28.493,0x288,173 48 0 0 78 211 11
2025-06-29 22:11:28.493,0x380,109 0 0 128 0 0 6
2025-06-29 22:11:28.503,0x288,173 48 0 0 78 211 11
2025-06-29 22:11:28.511,0x488,20 20 116 166 0 0 96
2025-06-29 22:11:28.511,0x320,3 16 0 0 0 0 0
2025-06-29 22:11:28.518,0x280,24 36 12 20 0 20 20
2025-06-29 22:11:28.518,0x288,173 48 0 0 78 211 11
2025-06-29 22:11:28.528,0x380,109 0 0 128 0 0 6
2025-06-29 22:11:28.528,0x488,20 20 116 166 0 0 128
2025-06-29 22:11:28.528,0x280,24 36 12 20 0 20 20
2025-06-29 22:11:28.535,0x288,173 48 0 0 78 211 11
2025-06-29 22:11:28.535,0x380,109 0 0 128 0 0 6
2025-06-29 22:11:28.543,0x280,24 36 12 20 0 20 20
2025-06-29 22:11:28.543,0x288,173 48 0 0 78 211 11
2025-06-29 22:11:28.549,0x380,109 0 0 128 0 0 6
2025-06-29 22:11:28.551,0x280,24 36 12 20 0 20 20
2025-06-29 22:11:28.561,0x288,173 48 0 0 78 211 11
2025-06-29 22:11:28.563,0x380,109 0 0 128 0 0 6
2025-06-29 22:11:28.567,0x488,20 20 116 166 0 0 176
2025-06-29 22:11:28.569,0x488,20 20 116 166 0 0 192
2025-06-29 22:11:28.569,0x320,3 16 0 0 0 0 0
2025-06-29 22:11:28.577,0x280,24 33 12 21 0 21 20
2025-06-29 22:11:28.583,0x520,143 1 242 106 76 163 1
2025-06-29 22:11:28.583,0x280,24 33 12 21 0 21 20
2025-06-29 22:11:28.583,0x5D0,2 65 32 0 0
2025-06-29 22:11:28.583,0x280,24 33 12 21 0 21 20
2025-06-29 22:11:28.591,0x288,173 48 0 0 78 211 11
2025-06-29 22:11:28.599,0x380,109 0 0 128 0 0 6
2025-06-29 22:11:28.599,0x280,24 37 12 21 0 21 20
2025-06-29 22:11:28.599,0x288,173 48 0 0 78 211 11
2025-06-29 22:11:28.611,0x380,109 0 0 128 0 0 6
2025-06-29 22:11:28.616,0x488,20 21 116 166 0 0 0
2025-06-29 22:11:28.616,0x280,24 37 12 21 0 21 20
2025-06-29 22:11:28.616,0x288,173 48 0 0 78 211 11
2025-06-29 22:11:28.626,0x380,109 0 0 128 0 0 6
2025-06-29 22:11:28.633,0x380,109 0 0 128 0 0 6
2025-06-29 22:11:28.633,0x488,20 21 116 166 0 0 32
2025-06-29 22:11:28.633,0x470,0 50 0 2
2025-06-29 22:11:28.633,0x280,24 38 12 21 0 21 21
2025-06-29 22:11:28.640,0x288,173 48 0 0 78 211 11
2025-06-29 22:11:28.648,0x380,109 0 0 128 0 0 6
2025-06-29 22:11:28.648,0x280,24 38 12 21 0 21 21
2025-06-29 22:11:28.648,0x288,173 48 0 0 78 211 11
2025-06-29 22:11:28.657,0x380,109 0 0 128 0 0 6
2025-06-29 22:11:28.657,0x280,24 38 12 21 0 21 21
