timestamp,can_id,data
2025-06-22 18:08:29.177,0x288,DATA:81 170 59 0 0 82 209 15
2025-06-22 18:08:29.184,0x488,DATA:180 41 41 114 166 0 0 96
2025-06-22 18:08:29.186,0x470,DATA:0 0 50 0 2
2025-06-22 18:08:29.189,0x280,DATA:33 46 143 12 41 0 36 41
2025-06-22 18:08:29.194,0x288,DATA:81 170 59 0 0 82 209 15
2025-06-22 18:08:29.194,0x320,DATA:4 0 21 0 0 0 0 0
2025-06-22 18:08:29.201,0x280,DATA:33 45 152 12 41 0 36 41
2025-06-22 18:08:29.203,0x288,DATA:143 170 59 0 0 82 209 16
2025-06-22 18:08:29.203,0x280,DATA:33 45 152 12 41 0 36 41
2025-06-22 18:08:29.213,0x288,DATA:143 170 59 0 0 82 209 16
2025-06-22 18:08:29.217,0x380,DATA:0 141 0 0 128 0 0 10
2025-06-22 18:08:29.221,0x280,DATA:33 45 152 12 41 0 36 41
2025-06-22 18:08:29.225,0x288,DATA:143 170 59 0 0 82 209 16
2025-06-22 18:08:29.229,0x380,DATA:0 141 0 0 128 0 0 10
2025-06-22 18:08:29.235,0x280,DATA:33 45 152 12 41 0 36 41
2025-06-22 18:08:29.235,0x288,DATA:143 170 59 0 0 82 209 16
2025-06-22 18:08:29.241,0x380,DATA:0 141 0 0 128 0 0 10
2025-06-22 18:08:29.246,0x280,DATA:33 46 140 12 41 0 36 41
2025-06-22 18:08:29.247,0x288,DATA:213 170 59 0 0 82 209 16
2025-06-22 18:08:29.252,0x380,DATA:0 141 0 0 128 0 0 10
2025-06-22 18:08:29.256,0x488,DATA:52 41 41 114 166 0 0 224
2025-06-22 18:08:29.256,0x320,DATA:4 0 21 0 0 0 0 0
2025-06-22 18:08:29.263,0x280,DATA:33 47 140 12 41 0 36 41
2025-06-22 18:08:29.267,0x280,DATA:33 47 140 12 41 0 36 41
2025-06-22 18:08:29.271,0x288,DATA:213 170 59 0 0 82 209 16
2025-06-22 18:08:29.271,0x380,DATA:0 141 0 0 128 0 0 10
2025-06-22 18:08:29.277,0x320,DATA:4 0 21 0 0 0 0 0
2025-06-22 18:08:29.277,0x280,DATA:33 46 141 12 41 0 36 41
2025-06-22 18:08:29.277,0x288,DATA:17 170 59 0 0 82 209 16
2025-06-22 18:08:29.287,0x280,DATA:33 46 141 12 41 0 36 41
2025-06-22 18:08:29.295,0x288,DATA:17 170 59 0 0 82 209 16
2025-06-22 18:08:29.296,0x380,DATA:0 141 0 0 128 0 0 10
2025-06-22 18:08:29.296,0x280,DATA:33 46 141 12 41 0 36 41
2025-06-22 18:08:29.307,0x288,DATA:17 170 59 0 0 82 209 16
2025-06-22 18:08:29.313,0x380,DATA:0 141 0 0 128 0 0 10
2025-06-22 18:08:29.313,0x280,DATA:33 46 141 12 41 0 36 41
2025-06-22 18:08:29.319,0x288,DATA:17 170 59 0 0 82 209 16
2025-06-22 18:08:29.321,0x380,DATA:0 141 0 0 128 0 0 10
2025-06-22 18:08:29.321,0x488,DATA:132 41 41 114 166 0 0 80
2025-06-22 18:08:29.326,0x280,DATA:33 46 141 12 41 0 36 41
2025-06-22 18:08:29.326,0x288,DATA:81 170 59 0 0 82 209 16
2025-06-22 18:08:29.337,0x320,DATA:4 0 21 0 0 0 0 0
2025-06-22 18:08:29.337,0x420,DATA:3 0 0 0 170 50 128 0
2025-06-22 18:08:29.337,0x470,DATA:0 0 50 0 2
2025-06-22 18:08:29.337,0x280,DATA:33 46 149 12 41 0 36 41
2025-06-22 18:08:29.337,0x288,DATA:81 170 59 0 0 82 209 16
2025-06-22 18:08:29.353,0x380,DATA:0 141 0 0 128 0 0 10
2025-06-22 18:08:29.362,0x280,DATA:33 46 149 12 41 0 36 41
2025-06-22 18:08:29.364,0x288,DATA:143 170 59 0 0 82 209 16
2025-06-22 18:08:29.368,0x380,DATA:0 141 0 0 128 0 0 10
2025-06-22 18:08:29.373,0x280,DATA:33 46 149 12 41 0 36 41
2025-06-22 18:08:29.374,0x288,DATA:143 170 59 0 0 82 209 16
2025-06-22 18:08:29.380,0x380,DATA:0 141 0 0 128 0 0 10
2025-06-22 18:08:29.384,0x280,DATA:33 46 149 12 41 0 36 41
2025-06-22 18:08:29.390,0x288,DATA:143 170 59 0 0 82 209 16
2025-06-22 18:08:29.391,0x380,DATA:0 141 0 0 128 0 0 10
2025-06-22 18:08:29.395,0x288,DATA:143 170 59 0 0 82 209 16
2025-06-22 18:08:29.401,0x488,DATA:20 41 41 114 166 0 0 192
2025-06-22 18:08:29.402,0x320,DATA:4 0 21 0 0 0 0 0
2025-06-22 18:08:29.406,0x280,DATA:33 47 133 12 41 0 36 41
2025-06-22 18:08:29.412,0x288,DATA:213 170 59 0 0 82 209 16
2025-06-22 18:08:29.414,0x380,DATA:0 141 0 0 128 0 0 10
2025-06-22 18:08:29.419,0x320,DATA:4 0 21 0 0 0 0 0
2025-06-22 18:08:29.423,0x280,DATA:33 47 135 12 41 0 36 41
2025-06-22 18:08:29.425,0x288,DATA:213 170 59 0 0 82 209 16
2025-06-22 18:08:29.430,0x520,DATA:6 0 1 95 57 192 162 1
2025-06-22 18:08:29.435,0x280,DATA:33 47 135 12 41 0 36 41
2025-06-22 18:08:29.440,0x288,DATA:213 170 59 0 0 82 209 16
2025-06-22 18:08:29.440,0x280,DATA:33 47 135 12 41 0 36 41
2025-06-22 18:08:29.446,0x288,DATA:17 170 59 0 0 82 209 16
2025-06-22 18:08:29.451,0x380,DATA:0 141 0 0 128 0 0 10
2025-06-22 18:08:29.453,0x280,DATA:33 47 135 12 41 0 36 41
2025-06-22 18:08:29.457,0x288,DATA:17 170 59 0 0 82 209 16
2025-06-22 18:08:29.462,0x380,DATA:0 141 0 0 128 0 0 10
2025-06-22 18:08:29.467,0x280,DATA:33 47 143 12 41 0 36 41
2025-06-22 18:08:29.469,0x288,DATA:17 170 59 0 0 82 209 16
2025-06-22 18:08:29.474,0x488,DATA:228 41 41 114 166 0 0 48
2025-06-22 18:08:29.479,0x320,DATA:4 0 21 0 0 0 0 0
2025-06-22 18:08:29.480,0x280,DATA:33 47 143 12 41 0 36 41
2025-06-22 18:08:29.485,0x288,DATA:81 170 59 0 0 82 209 16
2025-06-22 18:08:29.489,0x470,DATA:0 0 50 0 2
2025-06-22 18:08:29.492,0x280,DATA:33 47 143 12 41 0 36 41
2025-06-22 18:08:29.495,0x288,DATA:81 170 59 0 0 82 209 16
2025-06-22 18:08:29.501,0x320,DATA:4 0 21 0 0 0 0 0
2025-06-22 18:08:29.502,0x280,DATA:33 45 156 12 41 0 36 41
