timestamp,can_id,data
2025-06-19 17:02:42.586,0x280,0 0 0 0 0 0 0
2025-06-19 17:02:42.586,0x288,104 48 0 0 97 207 0
2025-06-19 17:02:42.586,0x380,103 0 0 128 0 0 17
2025-06-19 17:02:42.586,0x488,0 73 116 166 0 0 32
2025-06-19 17:02:42.586,0x588,0 116 0 0 3 0 0
2025-06-19 17:02:42.600,0x280,0 0 0 0 0 0 0
2025-06-19 17:02:42.604,0x288,104 48 0 0 97 207 0
2025-06-19 17:02:42.604,0x380,103 0 0 128 0 0 17
2025-06-19 17:02:42.604,0x488,1 139 116 166 0 0 48
2025-06-19 17:02:42.604,0x480,12 0 0 0 64 0 67
2025-06-19 17:02:42.615,0x280,0 0 0 0 0 0 0
2025-06-19 17:02:42.615,0x288,104 48 0 0 97 207 0
2025-06-19 17:02:42.625,0x380,103 0 0 128 0 0 27
2025-06-19 17:02:42.626,0x488,2 130 116 166 0 0 64
2025-06-19 17:02:42.626,0x588,0 116 0 0 3 0 0
2025-06-19 17:02:42.626,0x280,0 0 0 0 0 0 0
2025-06-19 17:02:42.626,0x288,104 48 0 0 97 207 0
2025-06-19 17:02:42.641,0x380,103 0 0 128 0 0 40
2025-06-19 17:02:42.641,0x488,2 120 116 166 0 0 80
2025-06-19 17:02:42.641,0x480,12 0 0 0 64 0 67
2025-06-19 17:02:42.641,0x280,0 0 0 0 0 0 0
2025-06-19 17:02:42.641,0x288,104 48 0 0 97 207 0
2025-06-19 17:02:42.657,0x380,103 0 0 128 0 0 44
2025-06-19 17:02:42.659,0x488,3 111 116 166 0 0 96
2025-06-19 17:02:42.659,0x588,0 116 0 0 3 0 0
2025-06-19 17:02:42.659,0x280,0 0 0 0 0 0 0
2025-06-19 17:02:42.659,0x288,104 48 0 0 97 207 0
2025-06-19 17:02:42.674,0x380,103 0 0 128 0 0 48
2025-06-19 17:02:42.676,0x488,3 101 116 166 0 0 112
2025-06-19 17:02:42.681,0x480,12 0 0 0 64 0 67
2025-06-19 17:02:42.681,0x280,0 0 0 0 0 0 0
2025-06-19 17:02:42.683,0x288,104 48 0 0 97 207 0
2025-06-19 17:02:42.683,0x380,103 0 0 128 0 0 49
2025-06-19 17:02:42.683,0x488,4 93 116 166 0 0 128
2025-06-19 17:02:42.696,0x588,0 116 0 0 3 0 0
2025-06-19 17:02:42.696,0x320,3 0 0 0 0 0 0
2025-06-19 17:02:42.696,0x420,0 0 0 104 0 128 0
2025-06-19 17:02:42.696,0x470,0 0 0 2
2025-06-19 17:02:42.696,0x570,0 0 0
2025-06-19 17:02:42.696,0x5D0,2 65 32 0 0
2025-06-19 17:02:42.712,0x5D8,4 0 0 0 0 0 0
2025-06-19 17:02:42.712,0x280,0 0 0 0 0 0 0
2025-06-19 17:02:42.712,0x288,104 48 0 0 97 207 0
2025-06-19 17:02:42.712,0x380,103 0 0 128 0 0 47
2025-06-19 17:02:42.723,0x488,4 85 116 166 0 0 144
2025-06-19 17:02:42.728,0x480,12 0 0 0 64 0 21
2025-06-19 17:02:42.728,0x280,0 0 0 0 0 0 0
2025-06-19 17:02:42.728,0x288,104 48 0 0 97 207 0
2025-06-19 17:02:42.728,0x380,103 0 0 128 0 0 42
2025-06-19 17:02:42.728,0x488,5 81 116 166 0 0 160
2025-06-19 17:02:42.728,0x588,0 116 0 0 3 0 0
2025-06-19 17:02:42.744,0x320,3 0 0 0 0 0 0
2025-06-19 17:02:42.750,0x10,97 104 107 172 159 1
2025-06-19 17:02:42.750,0x280,0 0 0 0 0 0 0
2025-06-19 17:02:42.750,0x288,104 48 0 0 97 207 0
2025-06-19 17:02:42.750,0x380,103 0 0 128 0 0 36
2025-06-19 17:02:42.760,0x488,5 81 116 166 0 0 176
2025-06-19 17:02:42.760,0x480,12 0 0 0 64 0 21
2025-06-19 17:02:42.760,0x280,0 0 0 0 0 0 0
2025-06-19 17:02:42.774,0x288,104 48 0 0 97 207 0
2025-06-19 17:02:42.775,0x380,103 0 0 128 0 0 28
2025-06-19 17:02:42.780,0x488,6 81 116 166 0 0 192
2025-06-19 17:02:42.781,0x588,0 116 0 0 3 0 0
2025-06-19 17:02:42.786,0x320,3 0 0 0 0 0 0
2025-06-19 17:02:42.787,0x280,0 0 0 0 0 0 0
2025-06-19 17:02:42.791,0x288,104 48 0 0 97 207 0
2025-06-19 17:02:42.791,0x380,103 0 0 128 0 0 19
2025-06-19 17:02:42.791,0x488,6 81 116 166 0 0 208
2025-06-19 17:02:42.791,0x480,12 0 0 0 64 0 21
2025-06-19 17:02:42.791,0x470,0 0 0 2
2025-06-19 17:02:42.806,0x11,177 40 79 198 240 26
2025-06-19 17:02:42.806,0x280,0 0 0 0 0 0 0
2025-06-19 17:02:42.811,0x288,104 48 0 0 97 207 0
2025-06-19 17:02:42.814,0x380,103 0 0 128 0 0 12
2025-06-19 17:02:42.820,0x488,7 81 116 166 0 0 224
2025-06-19 17:02:42.822,0x588,0 116 0 0 3 0 0
2025-06-19 17:02:42.822,0x320,3 0 0 0 0 0 0
2025-06-19 17:02:42.830,0x280,0 0 0 0 0 0 0
